Time,Value
1,621.65
2,609.67
3,610.92
4,608.82
5,610.38
6,609.11
7,607.04
8,611.58
9,610.19
10,608.66
11,598.88
12,597.42
13,594.08
14,603.88
15,601.74
16,598.98
17,605.96
18,605.67
19,603.85
20,609.39
21,614.82
22,612.98
23,611.85
24,609.62
25,607.18
26,612.08
27,617.21
28,614.74
29,615.65
30,617.54
31,614.77
32,635.01
33,635.96
34,634.02
35,637.94
36,641.42
37,638.97
38,636.29
39,629.25
40,627.72
41,631.92
42,655.48
43,653.25
44,651.39
45,655.31
46,651.45
47,682.22
48,687.68
49,685.91
50,698
51,702
52,697.01
53,733.33
54,686.17
55,683.69
56,704.79
57,712
58,709.96
59,708.97
60,720.93
61,721.5
62,715.45
63,703.71
64,702.28
65,706.46
66,710.91
67,711.73
68,736.96
69,747.52
70,748.98
71,729.06
72,738.53
73,736.97
74,741.63
75,737.45
76,735.64
77,733.67
78,727.96
79,727.31
80,732.71
81,742.69
82,742.05
83,772.43
84,764.33
85,762.97
86,754.63
87,756.62
88,758.99
89,769.72
90,770.02
91,769.08
92,777
93,777
94,777.99
95,774.89
96,776.75
97,775.88
98,788.7
99,788.4
100,788.67
101,793.09
102,824.21
103,834.97
104,901.31
105,891.61
106,892.6
107,897.33
108,930.37
109,930.34
110,963.38
111,952.15
112,958.12
113,997.72
114,1015.97
115,1013.42
116,1126.76
117,994.67
118,999.65
119,896.83
120,908.14
121,910.49
122,906.05
123,785.22
124,780.92
125,826.29
126,817.91
127,819.55
128,830.5
129,903.84
130,906.6
131,895.798875
132,893.6210875
133,895.64
134,918.603625
135,922.0736125
136,919.97
137,893.045625
138,915.95625
139,915.05
140,920.31225
141,915.933
142,912.19
143,964.706075
144,979.703875
145,983.42
146,1013.027
147,1030.999413
148,1034.07
149,1024.01375
150,1050.11
151,1052.84
152,976.103
153,999.1035
154,997.59
155,1000.604625
156,999.877375
157,1001.2
158,1012.325988
159,1035.208125
160,1035.2
161,1056.637138
162,1052.779286
163,1050.87
164,1123.788429
165,1123.223188
166,1130.01
167,1174.86625
168,1150.605714
169,1150.37
170,1190.75195
171,1187.565286
172,1190.89
173,1259.410817
174,1285.14
175,1287
176,1270.9333
177,1275.197375
178,1279.5
179,1157.3933
180,1192.469143
181,1192.09
182,1179.159875
183,1227.494625
184,1227.68
185,1245.370786
186,1257.399625
187,1257
188,1091.171888
189,952.2323625
190,967.69
191,1049.084488
192,1118.630043
193,1113
194,1038.789
195,941.9197143
196,927.93
197,956.7863125
198,1037.22925
199,1041.04
200,1040.5755
201,1037.90455
202,1034.74
203,1086.929571
204,1099.169125
205,1079.99
206,1141.600363
207,1133.079314
208,1133.53
209,1190.45425
210,1181.149838
211,1184.03
212,1207.744875
213,1226.617038
214,1219.09
215,1180.023713
216,1185.260057
217,1170.36
218,1186.927413
219,1205.634875
220,1176.97
221,1217.930088
222,1241.686325
223,1236.63
224,1261.311225
225,1257.988113
226,1240.84
227,1279.414688
228,1309.109875
229,1288.02
230,1331.294429
231,1334.979038
232,1333
233,1417.172813
234,1452.076288
235,1447.55
236,1508.292125
237,1533.335071
238,1518.75
239,1535.868429
240,1640.619225
241,1651.1
242,1762.88625
243,1820.990563
244,1829
245,1771.920013
246,1776.3165
247,1780
248,1739.031975
249,1807.485063
250,1783.98
251,1961.520488
252,2052.909788
253,2008.84
254,2090.662313
255,2287.710288
256,2256.32
257,2387.206286
258,2211.976857
259,2279.82
260,2192.9808
261,2275.9307
262,2290.02
263,2285.933914
264,2399.242671
265,2409.93
266,2525.765158
267,2516.173143
268,2529.53
269,2883.313697
270,2664.920863
271,2683.03
272,2827.4913
273,2845.372857
274,2898.63
275,2657.675063
276,2748.185086
277,2706
278,2442.48025
279,2464.959814
280,2477.94
281,2507.389252
282,2617.210263
283,2600
284,2671.04325
285,2727.288013
286,2713.48
287,2589.164888
288,2512.366286
289,2502.03
290,2517.903114
291,2585.349186
292,2558.3
293,2477.641375
294,2501.191343
295,2421.26
296,2561.225429
297,2599.729838
298,2598.89
299,2609.96775
300,2491.201214
301,2502.86
302,2536.238938
303,2366.170143
304,2327.09
305,2385.748571
306,2354.783417
307,2338.49
308,2058.9956
309,1931.2143
310,1910.96
311,2320.12225
312,2264.7657
313,2265.21
314,2682.195363
315,2807.609857
316,2825.51
317,2751.821029
318,2560.997917
319,2564.3
320,2647.625
321,2781.636583
322,2784.8
323,2745.955417
324,2866.431667
325,2862.9
326,2693.633983
327,2794.117717
328,2790
329,3218.115017
330,3252.562533
331,3210.2
332,3457.374333
333,3357.326317
334,3340.28
335,3632.506667
336,3852.802914
337,3868.52
338,4282.992
339,4217.028329
340,4179.97
341,4328.725717
342,4130.440067
343,4104.71
344,4157.958033
345,4043.722
346,3986.28
347,4174.95
348,4340.316717
349,4331.77
350,4360.513317
351,4354.308333
352,4339.05
353,4607.98545
354,4594.98785
355,4582.52
356,4911.740017
357,4580.38748
358,4585.57
359,4344.098317
360,4488.72014
361,4385.02
362,4654.6585
363,4310.750183
364,4312.26
365,4329.955
366,4248.090017
367,4198.59
368,3961.271267
369,3319.63
370,3216.43
371,3763.62604
372,3746.060783
373,3678.53
374,3943.413333
375,3977.561667
376,3894.48
377,3637.50255
378,3776.3869
379,3777.62
380,3942.555
381,3910.307383
382,3881
383,4201.98905
384,4193.574667
385,4164.27
386,4360.722967
387,4386.88375
388,4394.07
389,4225.175
390,4338.852
391,4318.58
392,4376.191667
393,4602.280883
394,4605.66
395,4782.28
396,4819.485767
397,4822.17
398,5563.806567
399,5739.438733
400,5825.99
401,5711.205867
402,5603.71294
403,5594.66
404,5727.6335
405,5979.45984
406,5986.44
407,5983.18455
408,5876.079867
409,5900.59
410,5669.622533
411,5893.138417
412,5889.82
413,5776.69695
414,6155.43402
415,6136.49
416,6388.645167
417,6665.306683
418,6751.98
419,7197.72006
420,7437.543317
421,7365.99
422,6989.071667
423,7092.127233
424,7128.64
425,7158.03706
426,6719.39785
427,6569.22
428,5716.301583
429,6550.227533
430,6493.63
431,7301.42992
432,7815.0307
433,7868.77
434,7817.140383
435,8007.654067
436,8049.72
437,8059.8
438,8268.035
439,8236.72
440,8250.978333
441,8707.407267
442,8768.8
443,9718.29505
444,9952.50882
445,9919
446,10147.372
447,10883.912
448,10879.88
449,11332.622
450,11584.83
451,11591.22
452,13540.98
453,16501.97167
454,16860.88
455,15142.83415
456,14869.805
457,15068.95
458,17276.39333
459,16808.36667
460,16252.31
461,17771.9
462,19498.68333
463,19279.9
464,18961.85667
465,17737.11167
466,17382.94
467,16047.51
468,15190.945
469,13776.61
470,13949.175
471,14119.02833
472,13740.94
473,15589.32167
474,14380.58167
475,14214.01
476,13215.574
477,14165.575
478,13796
479,15005.85667
480,15053.26167
481,15039.24
482,17174.12
483,17319.198
484,17155.95
485,15265.90667
486,14714.25333
487,14437.42
488,13296.794
489,13912.882
490,13791.19
491,13852.92
492,14012.196
493,13554.14
494,11116.94667
495,11345.42333
496,11174.82
497,12950.79333
498,11505.228
499,11513.42
500,11223.064
501,11282.25833
502,11392.03
503,10969.815
504,11524.77667
505,11431.37
506,11212.655
507,10184.06167
508,10082.52
509,9083.258333
510,8901.901667
511,8852.73
512,8400.648333
513,6838.816667
514,6925.46
515,8099.958333
516,8240.536667
517,8245.08
518,8319.876566
519,8343.455
520,8068.02
521,8597.7675
522,9334.633333
523,9471.64
524,10127.16167
525,10841.99167
526,11085.83
527,11110.965
528,11390.39167
529,11245.98
530,9931.071667
531,10162.11667
532,10171.3
533,9696.593333
534,10348.60333
535,10319.46
536,10370.165
537,11009.38167
538,10931.12
539,11326.94833
540,11430.18167
541,11516.83
542,10763.19833
543,10118.058
544,9920.46
545,9089.278333
546,8746.002
547,8777.37
548,9182.843333
549,9154.7
550,9153.54
551,8358.121667
552,8530.402
553,8297.89
554,8171.415
555,8412.033333
556,8605.64
557,8947.753333
558,8690.408333
559,8725.37
560,8662.378333
561,8617.296667
562,8457.96
563,7876.195
564,7960.38
565,7950.61
566,6882.531667
567,6935.48
568,6937.56
569,7035.848333
570,7410.435
571,7426.48
572,6826.51
573,6603.876667
574,6634.68
575,7017.656667
576,6699.273333
577,6784.41
578,6926.266667
579,7847.845
580,7941.46
581,8036.511051
582,8340.748333
583,8368.1
584,7895.416926
585,8164.937426
586,8175.96
587,8852.718333
588,8807.205
589,8930.6
590,8933.861667
591,9555.542
592,9658.11
593,9258.398333
594,9010.32
595,8928.55
596,9334.281667
597,9259.57
598,9239.55
599,9221.426
600,9639.268333
601,9753.35
602,9803.306667
603,9630.136277
604,9631.44
605,9228.608333
606,9322.041667
607,9310.37
608,8468.788
609,8484.346667
610,8463.52
611,8652.038333
612,8511.458
613,8471.06
614,8106.118333
615,8240.055
616,8239.08
617,8507.406667
618,8385.556187
619,8396.63
620,7555.74
621,7566.193333
622,7576.78
623,7342.908333
624,7361.831667
625,7344.56
626,7459.876667
627,7385.395
628,7386.72
629,7535.146667
630,7645.146667
631,7637.14
632,7500.273333
633,7615.722142
634,7619.43
635,7676.271667
636,7620.153333
637,7615.54
638,6776.888333
639,6875.678333
640,6879.31
641,6315.7
642,6647.013333
643,6637.41
644,6509.426667
645,6464.411667
646,6445.79
647,6737
648,6714.718333
649,6760.83
650,6332.573333
651,6141.605833
652,6170.46
653,6211.4475
654,6218.595
655,6097.46
656,6107.896154
657,5908.7025
658,6223.28
659,6374.754167
660,6466.069167
661,6626.44
662,6593.289167
663,6603.376667
664,6555.51
665,6594.281667
666,6753.559167
667,6724.04
668,6510.791667
669,6377.363333
670,6403.18
671,6244.3575
672,6241
673,6248.84
674,6514.390833
675,6869.910833
676,7321.62
677,7396.401667
678,7428.045
679,7334.99
680,7451.289167
681,7689.884167
682,7715.1
683,8251.165
684,8187.324167
685,7939.81
686,8182.251667
687,8206.341667
688,8220.91
689,7916.800833
690,7570.869167
691,7607.7
692,7394.499167
693,7247.769167
694,7011.28
695,6988.079167
696,6993.513333
697,6718.23
698,6396.7725
699,6396.494667
700,6138.96
701,6311.131667
702,6347.07
703,6252.13
704,6362.676923
705,6342.629231
706,6312.75
707,6436.720833
708,6404.063333
709,6486.58
710,6401.246154
711,6575.229167
712,6354.57
713,6543.645714
714,6719.429231
715,6738.27
716,6719.266154
717,7000.04
718,7078.19
719,6932.6625
720,6981.946154
721,7018.78
722,7247.935385
723,7260.949231
724,7265.08
725,7113.069231
726,6433.271667
727,6501.19
728,6366.1075
729,6286.425833
730,6240.98
731,6296.320833
732,6273.1375
733,6326.04
734,6499.0625
735,6518.655
736,6522.39
737,6400.600833
738,6296.631667
739,6342.39
740,6418.562667
741,6669.990833
742,6756.12
743,6710.445
744,6639.304167
745,6583.45
746,6468.631667
747,6535.476667
748,6686.08
749,6550.474167
750,6593.135
751,6611.02
752,6562.641667
753,6470.4025
754,6483.73
755,6568.549167
756,6581.486667
757,6573.62
758,6618.567692
759,6621.711667
760,6626.85
761,6248.635833
762,6260.530833
763,6247
764,6299.399167
765,6452.571667
766,6599.17
767,6596.276154
768,6568.040769
769,6509.61
770,6488.825833
771,6531.601667
772,6504.78
773,6481.426
774,6508.31
775,6489.77
776,6473.753333
777,6465.9175
778,6457.21
779,6382.668333
780,6309.452857
781,6301.61
782,6342.280833
783,6387.674167
784,6390.42
785,6391.873333
786,6436.965
787,6437.76
788,6538.79
789,6486.251667
790,6444.97
791,6399.033333
792,6378.268333
793,6408.53
794,6372.063333
795,6176.155
796,5756.77
797,5596.1925
798,5558.243333
799,5572.44
800,5303.9425
801,4671.97
802,4491.98
803,4548.7975
804,4309.3375
805,4352.98
806,3823.511667
807,3920.536667
808,3793.35
809,4103.453846
810,4263.783333
811,4278.77
812,4116.7775
813,4167.546667
814,4140.6
815,3961.493333
816,3858.349167
817,3744.98
818,3405.643333
819,3435.34
820,3453.66
821,3523.96
822,3426.19
823,3407.28
824,3406.7625
825,3278.374167
826,3242.42
827,3271.238333
828,3392.405
829,3556.54
830,3808.0425
831,3982.850833
832,4135.19
833,3910.973333
834,4027.478333
835,3995.17
836,3813.88
837,3825.379167
838,3848.21
839,3743.905
840,3912.285833
841,3770.36
842,3791.545833
843,3752.271667
844,3855.88
845,3865.7975
846,3822.626667
847,3856.62
848,3920.456667
849,4036.093333
850,4032.25
851,4034.138333
852,3812.585833
853,3646.25
854,3646.345833
855,3599.841667
856,3531.96
857,3656.785
858,3621.270833
859,3621.43
860,3632.395
861,3690.523333
862,3703.98
863,3548.4275
864,3540.02
865,3587.35
866,3566.4
867,3586.25
868,3577.79
869,3576.3
870,3554.5
871,3448.58
872,3421.6
873,3470
874,3444.81
875,3475.33
876,3506.22
877,3456.02
878,3452.35
879,3467.34
880,3405.7
881,3394.76
882,3661.08
883,3664.38
884,3686.29
885,3629.47
886,3632.42
887,3614.5
888,3600.31
889,3608.2
890,3619.55
891,3670.74
892,3910.8
893,3926.53
894,3987.18
895,3944.88
896,3983.48
897,4139.6
898,3766.89
899,3848.33
900,3831.45
901,3833.23
902,3850.08
903,3834.62
904,3831.44
905,3814.58
906,3730.98
907,3872.25
908,3876.85
909,3886.82
910,3875.96
911,3950.56
912,3928.17
913,3881.09
914,3892.51
915,3877.77
916,3885.21
917,3936.5
918,4015.95
919,3994.92
920,3998.77
921,4029.11
922,4056.4
923,3992.34
924,3999.06
925,4011.92
926,3994.11
927,3935.89
928,3947.74
929,4048.51
930,4037.37
931,4115.55
932,4114.44
933,4114.16
934,4152.53
935,4882.88
936,4959.81
937,4911.24
938,5028.77
939,5053.52
940,5189.39
941,5268.71
942,5175.81
943,5310.18
944,5035.02
945,5072.85
946,5064.62
947,5152.51
948,5036.18
949,5196.65
950,5220.37
951,5276.31
952,5277.04
953,5309.28
954,5281.83
955,5377.19
956,5518.16
957,5434.19
958,5195.61
959,5292.83
960,5280.19
961,5301.29
962,5260.65
963,5269.79
964,5326.67
965,5390.16
966,5657.14
967,5771.08
968,5717.66
969,5684.47
970,5755.72
971,5936.72
972,6146.91
973,6348.02
974,7248.31
975,6978.63
976,7823.11
977,7992.69
978,8206.9
979,7885.96
980,7362.22
981,7265.05
982,8193.7
983,8007.03
984,7952.5
985,7625.93
986,7880.29
987,8003.26
988,8071.45
989,8744.42
990,8770.06
991,8719.88
992,8662.98
993,8272.46
994,8553.81
995,8554.8
996,8739.03
997,8134.92
998,7675.8
999,7786.04
1000,7803.23
1001,7998.29
1002,7931.34
1003,7640.61
1004,8020.38
1005,7917.58
1006,8173.06
1007,8237.88
1008,8693.6
1009,8859.47
1010,8978.99
1011,9327.48
1012,9076.18
1013,9281.7
1014,9531.35
1015,10209.38
1016,10668.63
1017,10814.48
1018,11017.5
1019,11766.4
1020,12932.55
1021,11132.85
1022,12374.35
1023,11890.38
1024,10737.73
1025,10578.72
1026,10805.4
1027,11984.76
1028,11160.49
1029,10955.16
1030,11232.04
1031,11477.01
1032,12313.08
1033,12586.78
1034,12099.9
1035,11352.87
1036,11803.97
1037,11389.1
1038,10186.96
1039,10873.5
1040,9397.72
1041,9674.28
1042,10638.56
1043,10535.75
1044,10764.9
1045,10587.41
1046,10323.62
1047,9844.3
1048,9772.17
1049,9875.17
1050,9848.65
1051,9473.99
1052,9530
1053,9501.33
1054,9589.13
1055,10084.7
1056,10407.17
1057,10529.55
1058,10814.57
1059,10980.23
1060,11787.99
1061,11465.67
1062,11960.82
1063,11996.41
1064,11856.64
1065,11282.22
1066,11566.84
1067,11386.26
1068,10858.12
1069,10016.96
1070,10302.17
1071,10359.44
1072,10214.52
1073,10317.6
1074,10917.26
1075,10760.56
1076,10129.4
1077,10111.98
1078,10405.81
1079,10143.8
1080,10135.06
1081,10360.28
1082,10171.95
1083,9717.82
1084,9484.55
1085,9577.99
1086,9600.9
1087,9769.79
1088,10386.64
1089,10621.29
1090,10584.16
1091,10577.8
1092,10317.47
1093,10487.21
1094,10406.31
1095,10313.66
1096,10101.03
1097,10159.32
1098,10420.16
1099,10363.9
1100,10361.33
1101,10310.43
1102,10265.63
1103,10190.36
1104,10157.59
1105,10275.88
1106,10173.11
1107,9979.49
1108,10033.05
1109,9683.38
1110,8553.61
1111,8432.23
1112,8055.64
1113,8193.9
1114,8225
1115,8056.74
1116,8307.74
1117,8322.92
1118,8382.03
1119,8236.17
1120,8155.48
1121,8147.69
1122,7869.74
1123,8212.02
1124,8190
1125,8587.92
1126,8586.9
1127,8269.73
1128,8308.01
1129,8283.76
1130,8353.54
1131,8162.16
1132,8002.51
1133,8076.78
1134,7954.15
1135,7960.04
1136,8231.06
1137,8222.52
1138,8026.76
1139,7469.56
1140,7431.88
1141,8666.79
1142,9259.8
1143,9551.54
1144,9218.76
1145,9433.35
1146,9164.62
1147,9147.98
1148,9252.99
1149,9301.18
1150,9206.16
1151,9418.05
1152,9310.19
1153,9343.34
1154,9204.24
1155,8766.04
1156,8809.41
1157,9037.12
1158,8717.81
1159,8801.52
1160,8762.42
1161,8632.32
1162,8457.69
1163,8482.7
1164,8503.93
1165,8175.99
1166,8120.8
1167,8081.81
1168,7617.07
1169,7286.35
1170,7324.03
1171,6907.4
1172,7130.25
1173,7163.63
1174,7523.83
1175,7431
1176,7757.47
1177,7557.72
1178,7402.69
1179,7309.59
1180,7296.77
1181,7192.85
1182,7395.97
1183,7547.19
1184,7504.83
1185,7522.39
1186,7337.42
1187,7220.76
1188,7202.31
1189,7189.16
1190,7251.87
1191,7067.74
1192,7111.14
1193,6879.54
1194,6612.12
1195,7284.29
1196,7150.86
1197,7190.17
1198,7143.2
1199,7514.41
1200,7322.08
1201,7250.69
1202,7192.72
1203,7194.4
1204,7243.93
1205,7301.07
1206,7385.36
1207,7219.6
1208,7168.31
1209,7175.68
1210,6944.33
1211,7326.35
1212,7347.89
1213,7351.57
1214,7759.24
1215,8165.47
1216,8042.65
1217,7817.92
1218,8184.66
1219,8021.49
1220,8173.97
1221,8105.24
1222,8842.42
1223,8813.89
1224,8722.03
1225,8900.34
1226,8910.85
1227,8703.36
1228,8626.47
1229,8722.26
1230,8658.94
1231,8388.11
1232,8428.17
1233,8327.36
1234,8588.42
1235,8895.78
1236,9385.69
1237,9279.81
1238,9502.37
1239,9333.77
1240,9378.09
1241,9314.56
1242,9162.14
1243,9162.14
1244,9614.9
1245,9755.66
1246,9807.54
1247,9907.12
1248,10162.41
1249,9854.79
1250,10275.38
1251,10354.3
1252,10242.43
1253,10368.53
1254,9904.17
1255,9937.67
1256,9703.93
1257,10180.65
1258,9604.72
1259,9606.86
1260,9696.58
1261,9669.63
1262,9989.39
1263,9663.75
1264,9309.15
1265,8785.52
1266,8804.72
1267,8712.35
1268,8534.17
1269,8912.82
1270,8912.82
1271,8754.34
1272,8758.9
1273,9067.39
1274,9155.89
1275,8898.63
1276,8039.38
1277,7931.94
1278,7885.46
1279,7936.65
1280,4830.21
1281,5609.03
1282,5166.26
1283,5348.44
1284,5026.35
1285,5357.61
1286,5410.23
1287,6195.2
1288,6226.44
1289,6189.85
1290,5822.62
1291,6502.16
1292,6768.49
1293,6698.46
1294,6763.75
1295,6369.09
1296,6260.95
1297,5885.41
1298,6405.29
1299,6428.28
1300,6652.87
1301,6809.11
1302,6741.67
1303,6871.69
1304,6777.44
1305,7343.2
1306,7205.55
1307,7365.03
1308,7293.69
1309,6873.24
1310,6891.6
1311,6915.37
1312,6857.66
1313,6871.95
1314,6623.8
1315,7112.27
1316,7034.89
1317,7259.36
1318,7130.04
1319,6840.24
1320,6852.52
1321,7130.99
1322,7477.6
1323,7507.08
1324,7549.52
1325,7699.27
1326,7790.66
1327,7765.33
1328,8777.63
1329,8628.77
1330,8824.66
1331,8973.82
1332,8903.95
1333,8885.93
1334,9030.96
1335,9170.79
1336,10002.48
1337,9821.8
1338,9527.39
1339,8754.46
1340,8617.25
1341,8814.53
1342,9305.93
1343,9790.31
1344,9303.59
1345,9385.7
1346,9669.4
1347,9719.37
1348,9785.74
1349,9510.67
1350,9057.57
1351,9167.26
1352,9178.32
1353,8730.73
1354,8899.66
1355,8842.85
1356,9197.54
1357,9569.21
1358,9425.98
1359,9698.1
1360,9450.84
1361,10204.23
1362,9525.57
1363,9658.04
1364,9794.56
1365,9623.75
1366,9670.43
1367,9753.85
1368,9782.59
1369,9775.15
1370,9892.13
1371,9286.42
1372,9459.97
1373,9473.5
1374,9330.07
1375,9426.7
1376,9526
1377,9454.81
1378,9380.03
1379,9300.15
1380,9357.43
1381,9284.78
1382,9691.9
1383,9621.49
1384,9276.58
1385,9240.85
1386,9154.45
1387,9004.23
1388,9127.47
1389,9185.35
1390,9133.97
1391,9236.38
1392,9087.98
1393,9072.42
1394,9131.31
1395,9089.09
1396,9348.91
1397,9256.23
1398,9440.07
1399,9238.04
1400,9287.4
1401,9235.96
1402,9295.9
1403,9238.13
1404,9254.52
1405,9193.51
1406,9131
1407,9154.19
1408,9174.71
1409,9214.66
1410,9163.87
1411,9392.66
1412,9537.4
1413,9613.11
1414,9551.28
1415,9707.5
1416,9938.83
1417,11042.4
1418,10934.94
1419,11102.67
1420,11114.93
1421,11343.88
1422,11823.69
1423,11077.77
1424,11242.57
1425,11194.25
1426,11750.28
1427,11772.94
1428,11605.6
1429,11767.6
1430,11684.06
1431,11893.03
1432,11392.43
1433,11573.11
1434,11777.43
1435,11774.38
1436,11873.98
1437,11914.01
1438,12293.72
1439,11969.53
1440,11734
1441,11865.82
1442,11522.8
1443,11683.44
1444,11653.02
1445,11763.93
1446,11337.4
1447,11467.37
1448,11302.01
1449,11534.75
1450,11481.64
1451,11707.78
1452,11659.57
1453,11923.25
1454,11397.44
1455,10187.51
1456,10467.89
1457,10159.62
1458,10254.93
1459,10367.74
1460,10121.52
1461,10227.83
1462,10352.66
1463,10395.44
1464,10446.44
1465,10330.77
1466,10674.64
1467,10785.62
1468,10948.43
1469,10943.89
1470,10931.79
1471,11081.43
1472,10919.65
1473,10430.46
1474,10532.22
1475,10234.48
1476,10732.43
1477,10692.84
1478,10732.4
1479,10774.24
1480,10692.33
1481,10840.8
1482,10777.92
1483,10619.24
1484,10575.06
1485,10551.77
1486,10673.46
1487,10788.56
1488,10603.74
1489,10670.8
1490,10923.3
1491,11063.19
1492,11302.67
1493,11376.61
1494,11540.04
1495,11428.24
1496,11431.32
1497,11503.73
1498,11327.57
1499,11366.51
1500,11508.2
1501,11758.16
1502,11925.46
1503,12831.56
1504,12990.25
1505,12944.52
1506,13128.46
1507,13036.77
1508,13076.37
1509,13651.47
1510,13289
1511,13458.66
1512,13564.72
1513,13810.32
1514,13758.88
1515,13575.17
1516,14023.31
1517,14155.59
1518,15591.39
1519,15595.77
1520,14839.84
1521,15490.6
1522,15328.53
1523,15317.04
1524,15708.65
1525,16295.57
1526,16339.33
1527,16091.07
1528,15968.16
1529,16725.15
1530,17679.72
1531,17798.45
1532,17820.57
1533,18687.45
1534,18699.75
1535,18422.28
1536,18398.91
1537,19172.52
1538,18739.8
1539,17151.44
1540,17138.87
1541,17732.42
1542,18191.6
1543,19709.73
1544,18792.52
1545,19226.97
1546,19454.54
1547,18670.49
1548,19155.06
1549,19377.66
1550,19181.41
1551,18318.87
1552,18554.15
1553,18247.76
1554,18029.36
1555,18803.44
1556,19164.48
1557,19276.59
1558,19439.75
1559,21379.48
1560,22847.46
1561,23150.79
1562,23869.92
1563,23490.58
1564,22745.48
1565,23824.99
1566,23253.37
1567,23715.53
1568,24693.58
1569,26443.21
1570,26246.58
1571,27036.69
1572,27376.37
1573,28856.59
1574,28982.56
1575,29393.75
1576,32195.46
1577,33000.78
1578,32035.03
1579,34046.67
1580,36860.41
1581,39486.04
1582,40670.25
1583,40240.72
1584,38240.09
1585,35544.94
1586,34011.82
1587,37393.13
1588,39158.47
1589,36828.52
1590,36065.2
1591,35793.01
1592,36632.35
1593,36020.13
1594,35538.98
1595,30797.88
1596,33002.38
1597,32099.74
1598,32276.84
1599,32243.26
1600,32541.8
1601,30419.17
1602,33403.17
1603,34314.26
1604,34318.1
1605,33136.46
1606,33522.9
1607,35529.66
1608,37676.25
1609,37002.09
1610,38278.61
1611,39323.26
1612,38928.1
1613,46364.3
1614,46589.58
1615,44878.17
1616,48013.38
1617,47471.4
1618,47185.19
1619,48720.37
1620,47951.85
1621,49160.1
1622,52118.23
1623,51608.15
1624,55916.5
1625,56001.2
1626,57487.86
1627,54123.4
1628,48880.43
1629,50624.84
1630,46800.42
1631,46340.31
1632,46155.87
1633,45113.92
1634,49618.43
1635,48356.04
1636,50477.7
1637,48448.91
1638,48861.38
1639,48881.59
1640,51169.7
1641,52299.33
1642,54881.52
1643,55997.23
1644,57764
1645,57253.28
1646,61258.73
1647,59133.47
1648,55754.72
1649,56872.38
1650,58913
1651,57665.9
1652,58075.1
1653,58085.8
1654,57411.17
1655,54204.96
1656,54477.46
1657,52508.23
1658,51415.92
1659,55074.47
1660,55863.93
1661,55783.71
1662,57627.67
1663,58730.13
1664,58735.25
1665,58736.92
1666,59031.32
1667,57076.49
1668,58206.55
1669,59054.1
1670,58020.46
1671,55947.27
1672,58048.59
1673,58102.58
1674,59774
1675,59964.87
1676,59834.74
1677,63554.44
1678,62969.12
1679,63252.63
1680,61455.98
1681,60087.09
1682,56251.48
1683,55703.14
1684,56507.91
1685,53808.8
1686,51731.71
1687,51153.13
1688,50110.53
1689,49075.58
1690,54056.64
1691,55071.46
1692,54884.1
1693,53584.15
1694,57796.62
1695,57857.5
1696,56610.46
1697,57213.33
1698,53241.72
1699,57473.23
1700,56428.16
1701,57380.27
1702,58928.81
1703,58280.73
1704,55883.5
1705,56750
1706,49007.09
1707,49702.27
1708,49922.52
1709,46736.58
1710,46441.64
1711,43596.24
1712,42912.19
1713,36964.27
1714,40784.32
1715,37280.35
1716,37528.3
1717,34754.54
1718,38728.59
1719,38410.5
1720,39266.04
1721,38445.29
1722,35689.62
1723,34647.67
1724,35684.59
1725,37310.54
1726,36662.64
1727,37585.24
1728,39188.59
1729,36885.51
1730,35530.38
1731,35816.17
1732,33514.87
1733,33450.19
1734,37338.36
1735,36704.57
1736,37313.18
1737,35494.9
1738,39066.82
1739,40525.8
1740,40188.56
1741,38324.87
1742,38068.04
1743,35729.82
1744,35524.17
1745,35592.35
1746,31686.55
1747,32447.59
1748,33674.66
1749,34639.38
1750,31640.58
1751,32160.91
1752,34644.45
1753,34456.67
1754,35847.7
1755,35047.36
1756,33536.88
1757,33856.86
1758,34688.98
1759,35309.3
1760,33747.97
1761,34211.01
1762,33839.04
1763,32877.41
1764,33818.52
1765,33515.57
1766,34227.64
1767,33158.25
1768,32686.56
1769,32814.61
1770,31738.59
1771,31421.25
1772,31520.66
1773,31783.49
1774,30815.94
1775,29790.24
1776,32118.06
1777,32297.89
1778,33581.63
1779,34279.34
1780,35365.2
1781,37318.14
1782,39405.95
1783,40002.53
1784,40005.93
1785,42214.15
1786,41659.06
1787,40000.46
1788,39193.94
1789,38138
1790,39750.14
1791,40882
1792,42825.95
1793,44634.13
1794,43816.14
1795,46333.46
1796,45608.37
1797,45611.46
1798,44417.78
1799,47833.98
1800,47112.19
1801,47056.41
1802,45982.55
1803,44648.57
1804,44777.86
1805,46734.65
1806,49327.75
1807,48932.02
1808,49335.68
1809,49523.5
1810,47744.58
1811,48972.09
1812,46962.8
1813,49056.86
1814,48897.65
1815,48806.78
1816,47074.77
1817,47155.87
1818,48862.76
1819,49329.01
1820,50035.33
1821,49947.38
1822,51769.06
1823,52677.4
1824,46809.17
1825,46078.38
1826,46368.69
